degree,elements,h,l2_error,h1_error,observed_h1_rate,raw_min,clipped_min,max_negative_coefficient
2,13,0.07692307692307693,3.625421980172742e-05,0.0022310655378914193,,-4.1071977032971916e-05,0.0,0.00016436554898093385
2,25,0.04,7.0691455320175855e-06,0.0008365990043619686,1.4999999999999996,-1.1105862589715731e-05,0.0,4.4444444444445016e-05
2,49,0.02040816326530612,1.3143975597997882e-06,0.00030488301908234805,1.5000000000000095,-2.890947154757292e-06,0.0,1.1569253551760866e-05
2,97,0.010309278350515464,2.38389766669725e-07,0.00010946360706617639,1.4999999999999898,-7.377153914945471e-07,0.0,2.9522561141223915e-06
2,193,0.0051813471502590676,4.2689755918624746e-08,3.9002405466348854e-05,1.499999999999987,-1.8634497888729596e-07,0.0,7.457321747638959e-07
2,385,0.0025974025974025974,7.59565307441528e-09,1.3843192627681692e-05,1.4999999999999964,-4.682856548202288e-08,0.0,1.8740278480539835e-07
2,769,0.0013003901170351106,1.3471039038997397e-09,4.90385755713498e-06,1.4999999999999316,-1.1737608869325494e-08,0.0,4.697262379118944e-08
3,13,0.07692307692307693,3.2212388400054566e-05,0.0017454551941521249,,-2.0952216448885666e-05,0.0,0.00027394258163488967
3,25,0.04,6.281036049850695e-06,0.000654506132960205,1.5000000000000013,-5.665479327778741e-06,0.0,7.4074074074075e-05
3,49,0.02040816326530612,1.1678608708147498e-06,0.00023852264320706976,1.5000000000000122,-1.4747707537949524e-06,0.0,1.9282089252934778e-05
3,97,0.010309278350515464,2.118126881935459e-07,8.563792424711095e-05,1.4999999999999825,-3.763337846595439e-07,0.0,4.920426856870653e-06
3,193,0.0051813471502590676,3.7930453499615705e-08,3.0513201001708364e-05,1.499999999999998,-9.506092995414639e-08,0.0,1.242886957939826e-06
3,385,0.0025974025974025974,6.748845467458535e-09,1.0830104300060806e-05,1.4999999999999931,-2.3888848573870623e-08,0.0,3.123379746756638e-07
3,769,0.0013003901170351106,1.1969209213428063e-09,3.836491353173385e-06,1.4999999999999007,-5.987754653861439e-09,0.0,7.828770631864903e-08
4,13,0.07692307692307693,2.8640676241901266e-05,0.0014757198043825743,,-8.822415375896893e-06,0.0,0.0002739425816348889
4,25,0.04,5.5845942788638276e-06,0.0005533614759835816,1.5000000000000018,-2.385581117642533e-06,0.0,7.407407407407428e-05
4,49,0.02040816326530612,1.038368365648223e-06,0.0002016623454750648,1.5000000000000095,-6.209863384117576e-07,0.0,1.9282089252935154e-05
4,97,0.010309278350515464,1.883268806751339e-07,7.2403795434615e-05,1.4999999999999807,-1.5846404490663893e-07,0.0,4.920426856870653e-06
4,193,0.0051813471502590676,3.372472183370083e-08,2.5797817763635088e-05,1.5000000000000158,-4.002760338604051e-08,0.0,1.2428869579397305e-06
4,385,0.0025974025974025974,6.000532951470715e-09,9.15646500275364e-06,1.49999999999999,-1.0058952258571121e-08,0.0,3.123379746756639e-07
4,769,0.0013003901170351106,1.06420623548927e-09,3.243615927919043e-06,1.4999999999997902,-2.5212825981540834e-09,0.0,7.828770631864905e-08
5,13,0.07692307692307693,1.4142858609487322e-05,0.0009377518499170569,,-1.4323011851130664e-06,0.0,0.00015888669734823657
5,25,0.04,2.7576907266516338e-06,0.0003516356873678633,1.5000000000000058,-3.8729424045458135e-07,0.0,4.296296296296341e-05
5,49,0.02040816326530612,5.127496591174334e-07,0.00012814711638770498,1.500000000000003,-1.0081586850649675e-07,0.0,1.1183611766702781e-05
5,97,0.010309278350515464,9.29964231032208e-08,4.600927148106823e-05,1.499999999999975,-2.5726315260292834e-08,0.0,2.853847576984981e-06
5,193,0.0051813471502590676,1.6653376774691626e-08,1.6393322946420474e-05,1.5000000000000195,-6.498399964673384e-09,0.0,7.208744356050999e-07
5,385,0.0025974025974025974,2.9630825891620344e-09,5.818511054423829e-06,1.5000000000001357,-1.6330504320083576e-09,0.0,1.811560253119003e-07
5,769,0.0013003901170351106,5.255084828559425e-10,2.0611682704213364e-06,1.500000000000015,-4.093250997014597e-10,0.0,4.5406869664795204e-08
