method,degree,elements,unknowns,constraints,iterations,kkt_residual,l2_error,h1_error,linf_error,minimum_solution,pressure_l2_error,pressure_l1_error,total_contact_force,barrier_estimator,barrier_effectivity,barrier_verified
bernstein_coefficients,2,12,23,23,4,1.1102230246251565e-16,0.00010225854825994994,0.002207251471992062,0.00026541900444444907,0.0,0.14457695445549287,0.07400945328171411,0.3612415564517981,0.006097777777777825,22.974156619045193,True
bernstein_coefficients,2,24,47,47,8,2.220446049250313e-16,2.7637221858457122e-05,0.0011533015968613653,9.416668673835834e-05,0.0,0.13079063938133192,0.05034416132237682,0.360309770447103,0.006322580645161327,67.14243501768927,True
bernstein_coefficients,2,48,95,95,17,9.384854005034526e-16,8.505235779961582e-06,0.0004517747979362938,1.851851851848974e-05,0.0,0.09837113458670957,0.026803939058356516,0.35987778798326253,0.006403189602282546,345.77223852379484,True
bernstein_coefficients,3,12,35,35,6,1.1102230246251565e-16,2.1573537952544423e-05,0.001044370128005439,7.89541765333383e-05,0.0,0.10907599421126259,0.048381898589493474,0.36022177828804913,0.0062298193499066975,78.904240705698,True
bernstein_coefficients,3,24,71,71,10,4.0592529337857286e-16,6.909864776375911e-06,0.0003503466019027207,2.3598616817405763e-05,0.0,0.06585870178163722,0.016721506548539416,0.3600846225015696,0.005098774008880427,216.06240943408582,True
bernstein_coefficients,3,48,143,143,18,1.4797191250082165e-15,1.159646707471019e-06,0.00025859471828137845,8.597572876211515e-06,0.0,0.10495707624407198,0.02283035553336943,0.3599785058052861,0.005413156385998587,629.6144811957525,True
bernstein_coefficients,4,12,47,47,7,2.2898349882893854e-16,8.485416778253546e-06,0.00046081329390834224,3.083564956283311e-05,0.0,0.0748858940348213,0.024009935441466873,0.3600983327417825,0.005244132307266408,170.06719111204572,True
bernstein_coefficients,4,24,95,95,13,7.771561172376096e-16,3.9910616865826925e-06,0.00036604704813924925,1.9361814620506034e-05,0.0,0.0965517612678767,0.029490148486799442,0.36003967522789787,0.005517848678707712,284.98613311087985,True
bernstein_coefficients,4,48,191,191,21,4.440892098500626e-15,1.259177452666569e-06,0.00015657804391913424,6.989738666669865e-06,0.0,0.08414606169521778,0.01743104987199781,0.3600033760605112,0.004552241738148892,651.274955365066,True
p1_cell_average_mixed_baseline,1,24,23,24,9,2.5719308410429575e-17,9.12724228462206e-05,0.009645824292604223,0.00020941518087857353,-3.376399655469725e-05,0.26331101714316446,0.1306776186046515,0.35926408268733834,,,False
p1_cell_average_mixed_baseline,1,48,47,48,19,8.779869192787615e-16,2.3783826295385158e-05,0.004786484117698175,5.3460886475655e-05,-4.38424214473012e-06,0.2457751310403975,0.13085427209079892,0.3598480591497152,,,False
p1_cell_average_mixed_baseline,1,96,95,96,39,2.4579797104070733e-15,6.380166471770193e-06,0.002405651381911756,1.3486119013660092e-05,-4.4456463279618426e-07,0.2065149746122991,0.10471980843871567,0.35997090248146835,,,False
