degree,alpha,constant_exact,constant_float
1,"(0, 0, 1)",0,0.0
1,"(0, 1, 0)",0,0.0
1,"(1, 0, 0)",0,0.0
2,"(0, 0, 2)",0,0.0
2,"(0, 1, 1)",1/4,0.25
2,"(0, 2, 0)",0,0.0
2,"(1, 0, 1)",1/8,0.125
2,"(1, 1, 0)",1/8,0.125
2,"(2, 0, 0)",0,0.0
3,"(0, 0, 3)",0,0.0
3,"(0, 1, 2)",11/27,0.4074074074074074
3,"(0, 2, 1)",11/27,0.4074074074074074
3,"(0, 3, 0)",0,0.0
3,"(1, 0, 2)",11/54,0.2037037037037037
3,"(1, 1, 1)",5/9,0.5555555555555556
3,"(1, 2, 0)",11/54,0.2037037037037037
3,"(2, 0, 1)",11/54,0.2037037037037037
3,"(2, 1, 0)",11/54,0.2037037037037037
3,"(3, 0, 0)",0,0.0
4,"(0, 0, 4)",0,0.0
4,"(0, 1, 3)",35/48,0.7291666666666666
4,"(0, 2, 2)",29/36,0.8055555555555556
4,"(0, 3, 1)",35/48,0.7291666666666666
4,"(0, 4, 0)",0,0.0
4,"(1, 0, 3)",35/96,0.3645833333333333
4,"(1, 1, 2)",9/8,1.125
4,"(1, 2, 1)",9/8,1.125
4,"(1, 3, 0)",35/96,0.3645833333333333
4,"(2, 0, 2)",29/72,0.4027777777777778
4,"(2, 1, 1)",35/36,0.9722222222222222
4,"(2, 2, 0)",29/72,0.4027777777777778
4,"(3, 0, 1)",35/96,0.3645833333333333
4,"(3, 1, 0)",35/96,0.3645833333333333
4,"(4, 0, 0)",0,0.0
5,"(0, 0, 5)",0,0.0
5,"(0, 1, 4)",511/375,1.3626666666666667
5,"(0, 2, 3)",413/250,1.652
5,"(0, 3, 2)",413/250,1.652
5,"(0, 4, 1)",511/375,1.3626666666666667
5,"(0, 5, 0)",0,0.0
5,"(1, 0, 4)",511/750,0.6813333333333333
5,"(1, 1, 3)",91/40,2.275
5,"(1, 2, 2)",2852/1125,2.535111111111111
5,"(1, 3, 1)",91/40,2.275
5,"(1, 4, 0)",511/750,0.6813333333333333
5,"(2, 0, 3)",413/500,0.826
5,"(2, 1, 2)",496/225,2.2044444444444444
5,"(2, 2, 1)",496/225,2.2044444444444444
5,"(2, 3, 0)",413/500,0.826
5,"(3, 0, 2)",413/500,0.826
5,"(3, 1, 1)",533/300,1.7766666666666666
5,"(3, 2, 0)",413/500,0.826
5,"(4, 0, 1)",511/750,0.6813333333333333
5,"(4, 1, 0)",511/750,0.6813333333333333
5,"(5, 0, 0)",0,0.0
6,"(0, 0, 6)",0,0.0
6,"(0, 1, 5)",1391/540,2.575925925925926
6,"(0, 2, 4)",98/27,3.6296296296296298
6,"(0, 3, 3)",341/100,3.41
6,"(0, 4, 2)",98/27,3.6296296296296298
6,"(0, 5, 1)",1391/540,2.575925925925926
6,"(0, 6, 0)",0,0.0
6,"(1, 0, 5)",1391/1080,1.287962962962963
6,"(1, 1, 4)",25753/5400,4.769074074074074
6,"(1, 2, 3)",3287/600,5.4783333333333335
6,"(1, 3, 2)",3287/600,5.4783333333333335
6,"(1, 4, 1)",25753/5400,4.769074074074074
6,"(1, 5, 0)",1391/1080,1.287962962962963
6,"(2, 0, 4)",49/27,1.8148148148148149
6,"(2, 1, 3)",707/150,4.713333333333333
6,"(2, 2, 2)",1304/225,5.795555555555556
6,"(2, 3, 1)",707/150,4.713333333333333
6,"(2, 4, 0)",49/27,1.8148148148148149
6,"(3, 0, 3)",341/200,1.705
6,"(3, 1, 2)",2593/600,4.321666666666666
6,"(3, 2, 1)",2593/600,4.321666666666666
6,"(3, 3, 0)",341/200,1.705
6,"(4, 0, 2)",49/27,1.8148148148148149
6,"(4, 1, 1)",9521/2700,3.5262962962962963
6,"(4, 2, 0)",49/27,1.8148148148148149
6,"(5, 0, 1)",1391/1080,1.287962962962963
6,"(5, 1, 0)",1391/1080,1.287962962962963
6,"(6, 0, 0)",0,0.0
